Catégorie 1,Cat 2,nom,Description,Titrage,Contenance,IsBio,Demi,Pinte,prix_unique
Softs et Sans Alcool,,Les sirops,"Melon, Pastèque, Goyave, Litchi, Grenadine,
Passion, Grenade, Fraise, Cerise, Cassis, Mûre,
Framboise, Pêche, Menthe, Banane, Violette,
Kiwi, Rose, Orgeat, Gingembre, Pamplemousse,
Citron, Citronnelle, Pulco",,,,,,"2,00 €"
Softs et Sans Alcool,,Les diabolos,"Melon, Pastèque, Goyave, Litchi, Grenadine,
Passion, Grenade, Fraise, Cerise, Cassis, Mûre,
Framboise, Pêche, Menthe, Banane, Violette,
Kiwi, Rose, Orgeat, Gingembre, Pamplemousse,
Citron, Citronnelle, Pulco",,,,,,"2,50 €"
Softs et Sans Alcool,,Schorle Les Filles de l’Ouest,"Citron Fringant, Rhubarbe Pimpante,
Menthe Fougueuse, Cassis Truculent,
Pomelo Corsé",,33,bio,,,"4,50 €"
Softs et Sans Alcool,,Boisson énergisante,,,20,,,,"3,00 €"
Softs et Sans Alcool,Les bières et Vin Sans Alcool,Ju^piler bière sans alcool,,,25,,,,"4,50 €"
